Date,Amount
2025-01-08,7964.37
2025-01-09,7980.44
2025-01-10,8015.82
2025-01-11,8080.99
2025-01-12,8021.45
2025-01-13,8041.07
2025-01-14,8003.07
2025-01-15,7997.41
2025-01-16,8074.58
2025-01-17,8138.15
2025-01-18,8149.76
2025-01-19,8143.17
2025-01-20,8143.17
2025-01-21,8117.50
2025-01-22,8178.57
2025-01-23,8229.44
2025-01-24,8235.87
2025-01-25,8280.07
2025-01-26,8264.59
2025-01-27,8264.59
2025-01-28,8203.64
2025-01-29,8294.10
2025-01-30,8312.76
2025-01-31,8447.32
2025-02-01,8417.40
2025-02-02,8494.70
2025-02-03,8503.28
2025-02-04,8544.73
2025-02-05,8605.42
2025-02-06,8716.56
2025-02-07,8673.35
2025-02-08,8701.14
2025-02-09,8718.25
2025-02-10,8718.25
2025-02-11,8827.70
2025-02-12,8791.79
2025-02-13,8800.97
2025-02-14,8812.87
2025-02-15,8724.05
2025-02-16,8729.87
2025-02-17,8729.87
2025-02-18,8758.74
2025-02-19,8867.81
2025-02-20,8843.54
2025-02-21,8858.31
2025-02-22,8865.09
2025-02-23,8858.98
2025-02-24,8858.98
2025-02-25,8883.22
2025-02-26,8824.72
2025-02-27,8869.29
2025-02-28,8790.07
2025-03-01,8698.58
2025-03-02,8741.94
2025-03-03,8741.94
2025-03-04,8820.27
2025-03-05,8883.13
2025-03-06,8872.91
2025-03-07,8880.60
2025-03-08,8855.55
2025-03-09,8840.44
2025-03-10,8840.44
2025-03-11,8796.29
2025-03-12,8871.63
2025-03-13,8920.20
2025-03-14,9036.47
2025-03-15,9054.42
2025-03-16,9024.57
2025-03-17,9024.57
2025-03-18,9062.41
2025-03-19,9106.40
2025-03-20,9116.65
2025-03-21,9131.77
2025-03-22,9034.15
2025-03-23,9036.73
2025-03-24,9039.52
2025-03-25,8983.65
2025-03-26,9015.56
2025-03-27,9023.86
2025-03-28,9112.94
2025-03-29,9182.65
2025-03-30,9182.98
2025-03-31,9182.98
2025-04-01,9320.26
2025-04-02,9353.02
2025-04-03,9356.97
2025-04-04,9305.87
2025-04-05,9099.97
2025-04-06,9108.79
2025-04-07,9108.79
2025-04-08,8946.25
2025-04-09,9021.57
2025-04-10,9234.05
2025-04-11,9528.63
2025-04-12,9619.13
2025-04-13,9669.45
2025-04-14,9669.45
2025-04-15,9571.79
2025-04-16,9611.41
2025-04-17,9885.69
2025-04-18,9803.29
2025-04-19,9831.69
2025-04-20,9864.05
2025-04-21,9864.05
2025-04-22,10044.81
2025-04-23,10027.41
2025-04-24,9767.36
2025-04-25,9891.49
2025-04-26,9817.59
2025-04-27,9846.96
2025-04-28,9849.72
2025-04-29,9920.08
2025-04-30,9854.43
2025-05-01,9782.37
2025-05-02,9548.67
2025-05-03,9580.91
2025-05-04,9580.91
2025-05-05,9580.91
2025-05-06,9802.17
2025-05-07,10087.07
2025-05-08,10034.14
2025-05-09,9953.03
2025-05-10,9978.66
2025-05-11,9925.54
2025-05-12,9920.72
2025-05-13,9599.40
2025-05-14,9684.22
2025-05-15,9537.42
2025-05-16,9636.59
2025-05-17,9560.14
2025-05-18,9560.14
2025-05-19,9569.40
2025-05-20,9623.72
2025-05-21,9779.31
2025-05-22,9824.93
2025-05-23,9818.46
2025-05-24,9857.04
2025-05-25,9847.47
2025-05-26,9866.74
2025-05-27,9834.28
2025-05-28,9781.37
2025-05-29,9796.95
2025-05-30,9924.72
2025-05-31,9781.31
2025-06-01,9781.31
2025-06-02,9800.49
2025-06-03,10028.39
2025-06-04,10001.27
2025-06-05,10060.40
2025-06-06,10002.77
2025-06-07,9914.65
2025-06-08,9900.09
